lineId,season,name,team,iceTimeRank,dZoneGiveawaysAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,blockedShotAttemptsFor,hitsFor,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,goalsFor,goalsAgainst,corsiPercentage,xGoalsFor,shotsOnGoalFor,flurryScoreVenueAdjustedxGoalsFor,fenwickPercentage,playContinuedOutsideZoneFor,netGoals
84719588474151,2013,Mcdonagh-Girardi,NYR,124.0,112.0,130.0,35.0,268.0,507.0,27.0,232.0,307.0,45.0,35.0,0.5,46.62,580.0,45.43,0.51,304.0,10.0
84703788475197,2013,Benoit-Barrie,COL,343.0,2.0,5.0,0.0,22.0,24.0,0.0,7.0,10.0,5.0,2.0,0.68,4.57,49.0,4.34,0.73,25.0,3.0
84707608474578,2013,Methot-Karlsson,OTT,215.0,82.0,96.0,21.0,205.0,380.0,18.0,172.0,226.0,31.0,41.0,0.55,30.04,470.0,29.53,0.53,270.0,-10.0
84701518474565,2013,Bouwmeester-Pietrangelo,STL,95.0,98.0,126.0,28.0,326.0,434.0,23.0,229.0,323.0,62.0,39.0,0.55,49.88,644.0,49.43,0.55,380.0,23.0
84735078477289,2013,Belov-Petry,EDM,233.0,20.0,18.0,5.0,32.0,60.0,2.0,22.0,32.0,7.0,4.0,0.59,7.87,83.0,7.28,0.6,33.0,3.0
84707248474090,2013,Quincey-Smith,DET,268.0,40.0,36.0,8.0,85.0,143.0,7.0,70.0,103.0,18.0,16.0,0.52,15.83,203.0,15.8,0.52,106.0,2.0
84696658470607,2013,Oduya-Seabrook,CHI,417.0,0.0,8.0,1.0,14.0,22.0,0.0,20.0,13.0,2.0,3.0,0.42,2.08,27.0,2.09,0.43,16.0,-1.0
84706428474600,2013,Josi-Weber,NSH,98.0,103.0,115.0,23.0,227.0,378.0,17.0,263.0,307.0,50.0,48.0,0.49,46.29,591.0,45.34,0.51,320.0,2.0
84707608473468,2013,Methot-Gryba,OTT,234.0,22.0,23.0,10.0,50.0,124.0,5.0,56.0,49.0,13.0,8.0,0.51,7.93,117.0,7.76,0.51,51.0,5.0
84712428475200,2013,Orlov-Green,WSH,117.0,57.0,56.0,20.0,142.0,216.0,4.0,90.0,107.0,21.0,21.0,0.56,19.63,281.0,19.15,0.56,160.0,0.0
84703788473446,2013,Benoit-Johnson,COL,483.0,5.0,11.0,4.0,18.0,27.0,1.0,13.0,15.0,3.0,2.0,0.53,2.72,40.0,2.62,0.53,27.0,1.0
84701518471392,2013,Bouwmeester-Polak,STL,295.0,5.0,7.0,4.0,12.0,26.0,0.0,8.0,10.0,2.0,1.0,0.43,1.1,17.0,1.12,0.39,12.0,1.0
84589518471274,2013,Gonchar-Goligoski,DAL,271.0,14.0,17.0,2.0,25.0,42.0,3.0,25.0,38.0,5.0,4.0,0.47,6.08,61.0,5.98,0.48,36.0,1.0
84751798475790,2013,Kulikov-Gudbranson,FLA,282.0,19.0,12.0,4.0,39.0,61.0,1.0,34.0,40.0,4.0,7.0,0.52,5.66,72.0,5.49,0.52,34.0,-3.0
84678908474031,2013,Jackman-Shattenkirk,STL,168.0,57.0,83.0,22.0,179.0,384.0,8.0,131.0,151.0,33.0,23.0,0.55,29.25,381.0,29.0,0.56,190.0,10.0
84745788474605,2013,Wiercioch-Karlsson,OTT,305.0,4.0,9.0,3.0,24.0,24.0,1.0,10.0,22.0,5.0,1.0,0.64,3.23,48.0,3.01,0.6,21.0,4.0
84717028476874,2013,Maatta-Niskanen,PIT,272.0,26.0,66.0,9.0,130.0,230.0,15.0,104.0,117.0,28.0,19.0,0.54,20.27,271.0,19.87,0.54,137.0,9.0
84717428474581,2013,Gardiner-Franson,TOR,266.0,80.0,87.0,21.0,130.0,393.0,15.0,162.0,163.0,18.0,20.0,0.47,19.38,274.0,18.55,0.45,140.0,-2.0
84703248474056,2013,Gorges-Subban,MTL,221.0,44.0,47.0,14.0,103.0,176.0,7.0,92.0,136.0,17.0,15.0,0.47,18.23,198.0,17.35,0.48,110.0,2.0
84706408475462,2013,Carle-Gudas,T.B,135.0,66.0,108.0,26.0,196.0,368.0,16.0,193.0,202.0,34.0,34.0,0.49,32.29,417.0,32.19,0.49,213.0,0.0
84663338473507,2013,Ference-Petry,EDM,300.0,31.0,38.0,12.0,69.0,158.0,7.0,95.0,79.0,7.0,12.0,0.46,10.39,128.0,10.06,0.44,69.0,-5.0
84662858475790,2013,Campbell-Gudbranson,FLA,373.0,4.0,7.0,0.0,17.0,30.0,1.0,11.0,18.0,3.0,0.0,0.56,2.5,34.0,2.32,0.58,26.0,3.0
84713488475233,2013,Nikitin-Savard,CBJ,128.0,46.0,58.0,14.0,133.0,369.0,9.0,136.0,134.0,19.0,16.0,0.49,17.05,260.0,17.1,0.48,134.0,3.0
84712848475753,2013,Sekera-Faulk,CAR,107.0,96.0,150.0,34.0,265.0,351.0,17.0,240.0,307.0,44.0,51.0,0.52,43.81,547.0,42.74,0.51,288.0,-7.0
84684938474135,2013,Hainsey-Bellemore,CAR,193.0,46.0,64.0,16.0,132.0,329.0,11.0,161.0,155.0,15.0,18.0,0.5,25.71,329.0,24.68,0.52,181.0,-3.0
84718738474151,2013,Mcdonagh-Stralman,NYR,392.0,9.0,11.0,1.0,43.0,49.0,2.0,26.0,35.0,5.0,7.0,0.61,7.27,89.0,7.01,0.59,47.0,-2.0
84701048475179,2013,Kulikov-Gilbert,FLA,334.0,3.0,10.0,4.0,10.0,18.0,0.0,11.0,18.0,3.0,4.0,0.48,2.06,30.0,1.96,0.46,12.0,-1.0
84678908471392,2013,Jackman-Polak,STL,288.0,16.0,34.0,7.0,46.0,145.0,3.0,56.0,60.0,9.0,17.0,0.51,9.06,133.0,8.85,0.53,60.0,-8.0
84716778475233,2013,Johnson-Savard,CBJ,185.0,16.0,23.0,2.0,39.0,135.0,2.0,63.0,54.0,9.0,8.0,0.46,6.73,95.0,6.67,0.45,44.0,1.0
84674528468498,2013,Orpik-Scuderi,PIT,257.0,1.0,13.0,4.0,13.0,31.0,2.0,26.0,25.0,1.0,10.0,0.29,1.91,23.0,1.81,0.29,14.0,-9.0
84661428474717,2013,Brewer-Barberio,T.B,145.0,22.0,44.0,11.0,71.0,159.0,5.0,81.0,86.0,13.0,11.0,0.49,14.27,185.0,14.04,0.51,96.0,2.0
